country,year,value
Austria,2022,19.7897509199721
Austria,2021,19.462852720957
Austria,2020,19.169788839314
Austria,2019,18.9402993578561
Austria,2018,18.7625828458159
Austria,2017,18.6103296736393
Austria,2016,18.4999156835518
Austria,2015,18.4613708048616
Austria,2014,18.3880563664351
Austria,2013,18.1994460470678
Austria,2012,17.9497049255533
Austria,2011,17.7360671109115
Austria,2010,17.6592449706019
Austria,2009,17.531366290654
Austria,2008,17.2809727927874
Austria,2007,17.0280423461531
Austria,2006,16.6795154741016
Austria,2005,16.2126667286006
Austria,2004,15.733576999106
Austria,2003,15.474203955826
Austria,2002,15.4618807713017
Austria,2001,15.4633865658572
Austria,2000,15.4406416730563
Belgium,2022,19.7671927585206
Belgium,2021,19.4520520478909
Belgium,2020,19.224020193227
Belgium,2019,19.029838081816
Belgium,2018,18.8086209996758
Belgium,2017,18.584903433857
Belgium,2016,18.356666180316
Belgium,2015,18.1637094668899
Belgium,2014,17.9621509816265
Belgium,2013,17.7203816464754
Belgium,2012,17.4894292316249
Belgium,2011,17.2510605141588
Belgium,2010,17.1172634557158
Belgium,2009,17.0993251555047
Belgium,2008,17.0686641068395
Belgium,2007,17.0787754073517
Belgium,2006,17.1587511616051
Belgium,2005,17.2201996099681
Belgium,2004,17.1755814921989
Belgium,2003,17.0709725854981
Belgium,2002,16.9798372646478
Belgium,2001,16.899389905001
Belgium,2000,16.8052483305967
Czechia,2022,20.5183106530339
Czechia,2021,20.5371541683077
Czechia,2020,20.2939736426932
Czechia,2019,19.9485877378936
Czechia,2018,19.5315793430182
Czechia,2017,19.085882000882
Czechia,2016,18.5951592241056
Czechia,2015,18.0968797652582
Czechia,2014,17.6054939584589
Czechia,2013,17.0821590856387
Czechia,2012,16.5000497271668
Czechia,2011,15.8988256979579
Czechia,2010,15.4590024087743
Czechia,2009,15.1357868347276
Czechia,2008,14.7818728369816
Czechia,2007,14.4823049345478
Czechia,2006,14.2526797649416
Czechia,2005,14.0575832897421
Czechia,2004,13.9214932549247
Czechia,2003,13.8568269490459
Czechia,2002,13.8299128431282
Czechia,2001,13.8031991208702
Czechia,2000,13.7609941540348
Germany,2022,22.4589063795192
Germany,2021,22.1345373657439
Germany,2020,21.8447281174981
Germany,2019,21.6283933065816
Germany,2018,21.4497613850113
Germany,2017,21.2936405100178
Germany,2016,21.134996177657
Germany,2015,21.0533536816501
Germany,2014,20.9586686898656
Germany,2013,20.8129761139965
Germany,2012,20.6376494265399
Germany,2011,20.5214981321516
Germany,2010,20.5654453486144
Germany,2009,20.5215956309191
Germany,2008,20.2873147195182
Germany,2007,19.9911941840778
Germany,2006,19.4956220823608
Germany,2005,18.8586850514415
Germany,2004,18.2658061525647
Germany,2003,17.7182569255381
Germany,2002,17.2650364693375
Germany,2001,16.8557051631062
Germany,2000,16.4607313825805
Denmark,2022,20.4007400764725
Denmark,2021,20.2481262517018
Denmark,2020,20.0008145375227
Denmark,2019,19.7143802297606
Denmark,2018,19.4403886413888
Denmark,2017,19.1822684091773
Denmark,2016,18.9425702764271
Denmark,2015,18.7039395633233
Denmark,2014,18.4155552098464
Denmark,2013,18.0533476868912
Denmark,2012,17.6035443304634
Denmark,2011,17.0763558660448
Denmark,2010,16.5574489274022
Denmark,2009,16.1019309009513
Denmark,2008,15.735788408074
Denmark,2007,15.4557349146506
Denmark,2006,15.2481599729283
Denmark,2005,15.0928272794378
Denmark,2004,14.9629722691678
Denmark,2003,14.8698837174681
Denmark,2002,14.817030784647
Denmark,2001,14.8038992854408
Denmark,2000,14.8179045532594
Spain,2022,20.1879992491906
Spain,2021,19.8133822943511
Spain,2020,19.5596160856506
Spain,2019,19.3818276285973
Spain,2018,19.2023408408683
Spain,2017,18.9928200430073
Spain,2016,18.7673388766097
Spain,2015,18.5417546078088
Spain,2014,18.2556448430349
Spain,2013,17.850818523935
Spain,2012,17.4565170843771
Spain,2011,17.1687054838507
Spain,2010,16.8924601879808
Spain,2009,16.624463548763
Spain,2008,16.4438826004183
Spain,2007,16.4323340980449
Spain,2006,16.5359190105435
Spain,2005,16.5458746280758
Spain,2004,16.6200037719819
Spain,2003,16.8143513811509
Spain,2002,16.9184155055798
Spain,2001,16.8103108793461
Spain,2000,16.547877414587
Finland,2022,23.2287672110978
Finland,2021,22.8749565743109
Finland,2020,22.4906828905898
Finland,2019,22.061393842071
Finland,2018,21.6154814502107
Finland,2017,21.1457473282604
Finland,2016,20.6838033296157
Finland,2015,20.2090618722589
Finland,2014,19.6661048130943
Finland,2013,19.0733570715343
Finland,2012,18.4499585932434
Finland,2011,17.8213910625007
Finland,2010,17.2594164785613
Finland,2009,16.8796258150036
Finland,2008,16.629047778842
Finland,2007,16.4860618184775
Finland,2006,16.2327000834465
Finland,2005,15.9351969717591
