country,year,value
Austria,2022,81.2951219512195
Austria,2021,81.190243902439
Austria,2020,81.1926829268293
Austria,2019,81.8951219512195
Austria,2018,81.6926829268293
Austria,2017,81.6439024390244
Austria,2016,81.6414634146342
Austria,2015,81.190243902439
Austria,2014,81.490243902439
Austria,2013,81.1365853658537
Austria,2012,80.9365853658537
Austria,2011,80.9829268292683
Austria,2010,80.5804878048781
Austria,2009,80.3317073170732
Austria,2008,80.4317073170732
Austria,2007,80.1804878048781
Austria,2006,79.8804878048781
Austria,2005,79.3317073170732
Austria,2004,79.1804878048781
Austria,2003,78.6317073170732
Austria,2002,78.6780487804878
Austria,2001,78.5756097560976
Austria,2000,78.1268292682927
Belgium,2022,81.7487804878049
Belgium,2021,81.790243902439
Belgium,2020,80.6951219512195
Belgium,2019,81.9951219512195
Belgium,2018,81.5951219512195
Belgium,2017,81.4926829268293
Belgium,2016,81.4390243902439
Belgium,2015,80.9926829268293
Belgium,2014,81.2878048780488
Belgium,2013,80.5878048780488
Belgium,2012,80.3853658536585
Belgium,2011,80.5853658536585
Belgium,2010,80.1829268292683
Belgium,2009,80.0341463414634
Belgium,2008,79.6804878048781
Belgium,2007,79.7829268292683
Belgium,2006,79.380487804878
Belgium,2005,78.9804878048781
Belgium,2004,78.8780487804878
Belgium,2003,78.1292682926829
Belgium,2002,78.0756097560976
Belgium,2001,77.9731707317073
Belgium,2000,77.7219512195122
Czechia,2022,78.9292682926829
Czechia,2021,77.2219512195122
Czechia,2020,78.2268292682927
Czechia,2019,79.2292682926829
Czechia,2018,79.0292682926829
Czechia,2017,78.9780487804878
Czechia,2016,79.0268292682927
Czechia,2015,78.5780487804878
Czechia,2014,78.8243902439024
Czechia,2013,78.1756097560976
Czechia,2012,78.0756097560976
Czechia,2011,77.8731707317073
Czechia,2010,77.4243902439025
Czechia,2009,77.0780487804878
Czechia,2008,76.9756097560976
Czechia,2007,76.7243902439025
Czechia,2006,76.5243902439024
Czechia,2005,75.9243902439025
Czechia,2004,75.7219512195122
Czechia,2003,75.1707317073171
Czechia,2002,75.2219512195122
Czechia,2001,75.1731707317073
Czechia,2000,74.9682926829268
Germany,2022,80.6080487804878
Germany,2021,80.790243902439
Germany,2020,81.0414634146342
Germany,2019,81.2926829268293
Germany,2018,80.8926829268293
Germany,2017,80.9926829268293
Germany,2016,80.990243902439
Germany,2015,80.6414634146341
Germany,2014,81.090243902439
Germany,2013,80.490243902439
Germany,2012,80.5390243902439
Germany,2011,80.4365853658537
Germany,2010,79.9878048780488
Germany,2009,79.8365853658537
Germany,2008,79.7365853658537
Germany,2007,79.5341463414634
Germany,2006,79.1317073170732
Germany,2005,78.9317073170732
Germany,2004,78.6804878048781
Germany,2003,78.3804878048781
Germany,2002,78.2292682926829
